	Rates				Time
1	32706.888				23/05,19:59:34
2	32695.288				23/05,19:59:44
3	32695.288				23/05,19:59:55
4	32676.452				23/05,20:00:05
5	32676.452				23/05,20:00:15
6	32544.63				23/05,20:00:25
7	32468.84				23/05,20:00:36
8	32477.285				23/05,20:00:46
9	32429.871				23/05,20:00:56
10	32412.783				23/05,20:01:06
11	32360.0				23/05,20:01:17
12	32354.517				23/05,20:01:27
13	32224.676				23/05,20:01:37
14	32224.676				23/05,20:01:47
15	32216.28				23/05,20:01:58
16	32237.631				23/05,20:02:08
17	32157.853				23/05,20:02:18
18	32157.853				23/05,20:02:28
19	32200.001				23/05,20:02:39
20	32200.001				23/05,20:02:49
21	32200.001				23/05,20:02:59
22	32228.966				23/05,20:03:09
23	32108.74				23/05,20:03:20
24	32011.991				23/05,20:03:30
25	31970.0				23/05,20:03:40
26	31893.854				23/05,20:03:50
27	31950.11				23/05,20:04:01
28	31935.659				23/05,20:04:11
29	31940.696				23/05,20:04:21
30	31940.696				23/05,20:04:32
31	31958.5				23/05,20:04:42
32	31881.504				23/05,20:04:52
33	31881.504				23/05,20:05:02
34	31923.43				23/05,20:05:12
35	31967.426				23/05,20:05:23
36	31889.615				23/05,20:05:33
37	31889.615				23/05,20:05:43
38	31889.615				23/05,20:05:53
39	32035.649				23/05,20:06:04
40	32120.0				23/05,20:06:14
41	32169.2				23/05,20:06:24
42	32127.258				23/05,20:06:34
43	31963.637				23/05,20:06:45
44	31947.53				23/05,20:06:55
45	31920.0				23/05,20:07:05
46	31881.504				23/05,20:07:15
47	31964.951				23/05,20:07:26
48	31989.237				23/05,20:07:36
49	31964.951				23/05,20:07:46
50	31941.26				23/05,20:07:56
51	31941.26				23/05,20:08:07
52	31968.34				23/05,20:08:17
53	31968.34				23/05,20:08:27
54	32060.997				23/05,20:08:37
55	32044.6				23/05,20:08:48
56	32044.6				23/05,20:08:58
57	32050.24				23/05,20:09:08
58	32119.997				23/05,20:09:18
59	32195.311				23/05,20:09:29
60	32269.9				23/05,20:09:39
61	32269.9				23/05,20:09:49
62	32210.859				23/05,20:10:00
63	32210.859				23/05,20:10:10
64	32210.859				23/05,20:10:20
65	32201.9				23/05,20:10:30
66	32294.816				23/05,20:10:40
67	32298.493				23/05,20:10:51
68	32384.322				23/05,20:11:01
69	32366.727				23/05,20:11:11
70	32317.185				23/05,20:11:21
71	32312.684				23/05,20:11:32
72	32285.471				23/05,20:11:42
73	32285.471				23/05,20:11:52
74	32285.471				23/05,20:12:03
75	32259.299				23/05,20:12:13
76	32259.299				23/05,20:12:23
77	32259.299				23/05,20:12:33
78	32210.859				23/05,20:12:44
79	32196.594				23/05,20:12:54
80	32196.594				23/05,20:13:04
81	32263.545				23/05,20:13:14
82	32278.909				23/05,20:13:24
83	32307.441				23/05,20:13:35
84	32351.316				23/05,20:13:45
85	32433.89				23/05,20:13:55
86	32463.397				23/05,20:14:05
87	32505.891				23/05,20:14:16
88	32430.565				23/05,20:14:26
89	32395.82				23/05,20:14:36
90	32330.593				23/05,20:14:47
91	32330.593				23/05,20:14:57
92	32362.967				23/05,20:15:07
93	32311.173				23/05,20:15:17
94	32240.004				23/05,20:15:27
95	32240.004				23/05,20:15:38
96	32240.004				23/05,20:15:48
97	32133.965				23/05,20:15:58
98	32150.624				23/05,20:16:08
99	32150.624				23/05,20:16:19
100	32252.682				23/05,20:16:29
101	32252.682				23/05,20:16:39
102	32290.7				23/05,20:16:50
103	32322.958				23/05,20:17:00
104	32477.429				23/05,20:17:10
105	32464.937				23/05,20:17:20
106	32470.984				23/05,20:17:30
107	32502.129				23/05,20:17:41
108	32472.557				23/05,20:17:51
109	32469.857				23/05,20:18:01
110	32469.857				23/05,20:18:12
111	32515.752				23/05,20:18:22
