	Rates				Time
1	0.28785				23/05,19:59:34
2	0.28692				23/05,19:59:44
3	0.28692				23/05,19:59:55
4	0.28785				23/05,20:00:05
5	0.28785				23/05,20:00:15
6	0.28615				23/05,20:00:25
7	0.28419				23/05,20:00:36
8	0.28352				23/05,20:00:46
9	0.28352				23/05,20:00:56
10	0.28352				23/05,20:01:06
11	0.2822				23/05,20:01:17
12	0.2822				23/05,20:01:27
13	0.28052				23/05,20:01:37
14	0.28052				23/05,20:01:47
15	0.28328				23/05,20:01:58
16	0.282				23/05,20:02:08
17	0.281				23/05,20:02:18
18	0.28319				23/05,20:02:28
19	0.28211				23/05,20:02:39
20	0.28211				23/05,20:02:49
21	0.2838				23/05,20:02:59
22	0.28319				23/05,20:03:09
23	0.28319				23/05,20:03:20
24	0.28129				23/05,20:03:30
25	0.28129				23/05,20:03:40
26	0.28017				23/05,20:03:50
27	0.28017				23/05,20:04:01
28	0.28162				23/05,20:04:11
29	0.28162				23/05,20:04:21
30	0.28175				23/05,20:04:32
31	0.28175				23/05,20:04:42
32	0.28175				23/05,20:04:52
33	0.28045				23/05,20:05:02
34	0.28109				23/05,20:05:12
35	0.2812				23/05,20:05:23
36	0.28125				23/05,20:05:33
37	0.28174				23/05,20:05:43
38	0.2824				23/05,20:05:53
39	0.28286				23/05,20:06:04
40	0.285				23/05,20:06:14
41	0.285				23/05,20:06:24
42	0.285				23/05,20:06:34
43	0.28401				23/05,20:06:45
44	0.28401				23/05,20:06:55
45	0.283				23/05,20:07:05
46	0.283				23/05,20:07:15
47	0.283				23/05,20:07:26
48	0.283				23/05,20:07:36
49	0.283				23/05,20:07:46
50	0.283				23/05,20:07:56
51	0.28312				23/05,20:08:07
52	0.28312				23/05,20:08:17
53	0.28312				23/05,20:08:27
54	0.28312				23/05,20:08:37
55	0.28312				23/05,20:08:48
56	0.28312				23/05,20:08:58
57	0.28499				23/05,20:09:08
58	0.28499				23/05,20:09:18
59	0.28613				23/05,20:09:29
60	0.287				23/05,20:09:39
61	0.28686				23/05,20:09:49
62	0.28604				23/05,20:10:00
63	0.28604				23/05,20:10:10
64	0.28692				23/05,20:10:20
65	0.28692				23/05,20:10:30
66	0.28692				23/05,20:10:40
67	0.28652				23/05,20:10:51
68	0.28652				23/05,20:11:01
69	0.28652				23/05,20:11:11
70	0.28652				23/05,20:11:21
71	0.28652				23/05,20:11:32
72	0.28761				23/05,20:11:42
73	0.28753				23/05,20:11:52
74	0.28748				23/05,20:12:03
75	0.28638				23/05,20:12:13
76	0.28638				23/05,20:12:23
77	0.28638				23/05,20:12:33
78	0.28638				23/05,20:12:44
79	0.28638				23/05,20:12:54
80	0.28477				23/05,20:13:04
81	0.2888				23/05,20:13:14
82	0.2888				23/05,20:13:24
83	0.2888				23/05,20:13:35
84	0.2888				23/05,20:13:45
85	0.2888				23/05,20:13:55
86	0.2888				23/05,20:14:05
87	0.28773				23/05,20:14:16
88	0.28773				23/05,20:14:26
89	0.28673				23/05,20:14:36
90	0.28645				23/05,20:14:47
91	0.28552				23/05,20:14:57
92	0.28552				23/05,20:15:07
93	0.28532				23/05,20:15:17
94	0.28513				23/05,20:15:27
95	0.28391				23/05,20:15:38
96	0.28391				23/05,20:15:48
97	0.2838				23/05,20:15:58
98	0.28379				23/05,20:16:08
99	0.28379				23/05,20:16:19
100	0.28379				23/05,20:16:29
101	0.28379				23/05,20:16:39
102	0.28379				23/05,20:16:50
103	0.28588				23/05,20:17:00
104	0.28711				23/05,20:17:10
105	0.29				23/05,20:17:20
106	0.29				23/05,20:17:30
107	0.29038				23/05,20:17:41
108	0.29038				23/05,20:17:51
109	0.28896				23/05,20:18:01
110	0.28896				23/05,20:18:12
111	0.28896				23/05,20:18:22
112	0.28896				23/05,20:18:32
113	0.28896				23/05,20:18:42
114	0.29235				23/05,20:18:53
115	0.29283				23/05,20:19:03
116	0.29166				23/05,20:19:13
117	0.29166				23/05,20:19:23
118	0.29283				23/05,20:19:34
119	0.29294				23/05,20:19:44
120	0.29294				23/05,20:19:54
121	0.29224				23/05,20:20:04
122	0.29221				23/05,20:20:15
123	0.292				23/05,20:20:25
124	0.29283				23/05,20:20:35
125	0.29283				23/05,20:20:45
126	0.29196				23/05,20:20:56
127	0.29172				23/05,20:21:06
128	0.29172				23/05,20:21:16
129	0.29237				23/05,20:21:26
130	0.29237				23/05,20:21:37
131	0.29361				23/05,20:21:47
132	0.29437				23/05,20:21:57
133	0.293				23/05,20:22:07
134	0.293				23/05,20:22:18
135	0.293				23/05,20:22:28
136	0.293				23/05,20:22:38
137	0.293				23/05,20:22:48
138	0.2955				23/05,20:22:59
139	0.29602				23/05,20:23:09
140	0.29409				23/05,20:23:19
141	0.29415				23/05,20:23:29
142	0.29415				23/05,20:23:40
143	0.29441				23/05,20:23:50
144	0.29441				23/05,20:24:00
145	0.29441				23/05,20:24:10
146	0.29421				23/05,20:24:21
147	0.29421				23/05,20:24:31
148	0.29421				23/05,20:24:41
149	0.29421				23/05,20:24:51
150	0.29421				23/05,20:25:02
151	0.29421				23/05,20:25:12
152	0.29421				23/05,20:25:22
153	0.29371				23/05,20:25:32
154	0.29401				23/05,20:25:43
155	0.29392				23/05,20:25:53
156	0.2936				23/05,20:26:03
157	0.2936				23/05,20:26:13
