	Rates				Time
1	1908.658				23/05,19:59:34
2	1909.085				23/05,19:59:44
3	1909.085				23/05,19:59:55
4	1907.511				23/05,20:00:05
5	1912.227				23/05,20:00:15
6	1891.87				23/05,20:00:25
7	1882.222				23/05,20:00:36
8	1882.222				23/05,20:00:46
9	1884.551				23/05,20:00:56
10	1885.71				23/05,20:01:06
11	1877.627				23/05,20:01:17
12	1871.0				23/05,20:01:27
13	1863.844				23/05,20:01:37
14	1869.034				23/05,20:01:47
15	1871.706				23/05,20:01:58
16	1858.195				23/05,20:02:08
17	1850.0				23/05,20:02:18
18	1863.914				23/05,20:02:28
19	1854.838				23/05,20:02:39
20	1854.838				23/05,20:02:49
21	1854.838				23/05,20:02:59
22	1859.107				23/05,20:03:09
23	1852.0				23/05,20:03:20
24	1837.888				23/05,20:03:30
25	1834.727				23/05,20:03:40
26	1824.449				23/05,20:03:50
27	1835.225				23/05,20:04:01
28	1835.225				23/05,20:04:11
29	1835.225				23/05,20:04:21
30	1837.688				23/05,20:04:32
31	1840.38				23/05,20:04:42
32	1838.095				23/05,20:04:52
33	1836.301				23/05,20:05:02
34	1841.081				23/05,20:05:12
35	1841.093				23/05,20:05:23
36	1837.895				23/05,20:05:33
37	1838.805				23/05,20:05:43
38	1842.832				23/05,20:05:53
39	1852.322				23/05,20:06:04
40	1862.52				23/05,20:06:14
41	1862.52				23/05,20:06:24
42	1863.109				23/05,20:06:34
43	1851.027				23/05,20:06:45
44	1847.697				23/05,20:06:55
45	1843.257				23/05,20:07:05
46	1842.516				23/05,20:07:15
47	1842.516				23/05,20:07:26
48	1842.516				23/05,20:07:36
49	1855.761				23/05,20:07:46
50	1849.962				23/05,20:07:56
51	1849.962				23/05,20:08:07
52	1851.163				23/05,20:08:17
53	1856.218				23/05,20:08:27
54	1858.213				23/05,20:08:37
55	1858.213				23/05,20:08:48
56	1857.034				23/05,20:08:58
57	1859.615				23/05,20:09:08
58	1871.7				23/05,20:09:18
59	1871.7				23/05,20:09:29
60	1871.7				23/05,20:09:39
61	1869.598				23/05,20:09:49
62	1865.641				23/05,20:10:00
63	1865.641				23/05,20:10:10
64	1865.641				23/05,20:10:20
65	1865.641				23/05,20:10:30
66	1869.366				23/05,20:10:40
67	1871.621				23/05,20:10:51
68	1878.193				23/05,20:11:01
69	1878.193				23/05,20:11:11
70	1875.155				23/05,20:11:21
71	1874.787				23/05,20:11:32
72	1874.787				23/05,20:11:42
