	Rates				Time
1	131.942				23/05,19:59:34
2	131.942				23/05,19:59:44
3	131.942				23/05,19:59:55
4	131.149				23/05,20:00:05
5	131.149				23/05,20:00:15
6	131.149				23/05,20:00:25
7	129.838				23/05,20:00:36
8	129.838				23/05,20:00:46
9	129.649				23/05,20:00:56
10	129.5				23/05,20:01:06
11	129.0				23/05,20:01:17
12	129.0				23/05,20:01:27
13	128.459				23/05,20:01:37
14	128.459				23/05,20:01:47
15	128.459				23/05,20:01:58
16	128.459				23/05,20:02:08
17	128.185				23/05,20:02:18
18	128.4				23/05,20:02:28
19	128.4				23/05,20:02:39
20	128.4				23/05,20:02:49
21	128.18				23/05,20:02:59
22	128.18				23/05,20:03:09
23	127.8				23/05,20:03:20
24	127.334				23/05,20:03:30
25	126.618				23/05,20:03:40
26	126.313				23/05,20:03:50
27	126.313				23/05,20:04:01
28	126.642				23/05,20:04:11
29	126.642				23/05,20:04:21
30	126.591				23/05,20:04:32
31	126.428				23/05,20:04:42
32	126.428				23/05,20:04:52
33	126.012				23/05,20:05:02
34	126.119				23/05,20:05:12
35	126.119				23/05,20:05:23
36	126.217				23/05,20:05:33
37	126.217				23/05,20:05:43
38	126.217				23/05,20:05:53
39	126.217				23/05,20:06:04
40	127.308				23/05,20:06:14
41	127.308				23/05,20:06:24
42	127.308				23/05,20:06:34
43	126.372				23/05,20:06:45
44	126.453				23/05,20:06:55
45	126.544				23/05,20:07:05
46	126.544				23/05,20:07:15
47	126.544				23/05,20:07:26
48	126.663				23/05,20:07:36
49	126.663				23/05,20:07:46
50	126.663				23/05,20:07:56
51	126.663				23/05,20:08:07
52	127.15				23/05,20:08:17
53	127.15				23/05,20:08:27
54	127.15				23/05,20:08:37
55	127.175				23/05,20:08:48
56	127.175				23/05,20:08:58
57	127.175				23/05,20:09:08
58	127.89				23/05,20:09:18
59	128.027				23/05,20:09:29
60	128.027				23/05,20:09:39
61	128.027				23/05,20:09:49
62	128.027				23/05,20:10:00
63	128.175				23/05,20:10:10
64	128.175				23/05,20:10:20
65	128.175				23/05,20:10:30
66	128.175				23/05,20:10:40
67	128.175				23/05,20:10:51
68	128.175				23/05,20:11:01
69	128.792				23/05,20:11:11
70	128.792				23/05,20:11:21
71	128.792				23/05,20:11:32
72	128.792				23/05,20:11:42
73	128.792				23/05,20:11:52
74	128.792				23/05,20:12:03
75	128.319				23/05,20:12:13
76	128.319				23/05,20:12:23
77	128.319				23/05,20:12:33
78	127.897				23/05,20:12:44
79	127.818				23/05,20:12:54
80	128.066				23/05,20:13:04
81	128.066				23/05,20:13:14
82	127.317				23/05,20:13:24
83	127.317				23/05,20:13:35
84	127.317				23/05,20:13:45
85	127.693				23/05,20:13:55
86	127.693				23/05,20:14:05
87	127.693				23/05,20:14:16
88	127.693				23/05,20:14:26
89	127.693				23/05,20:14:36
90	127.693				23/05,20:14:47
91	127.693				23/05,20:14:57
92	127.217				23/05,20:15:07
93	127.217				23/05,20:15:17
94	127.217				23/05,20:15:27
95	127.217				23/05,20:15:38
96	127.217				23/05,20:15:48
97	127.217				23/05,20:15:58
98	127.217				23/05,20:16:08
99	127.217				23/05,20:16:19
100	127.046				23/05,20:16:29
101	127.046				23/05,20:16:39
102	127.71				23/05,20:16:50
103	127.71				23/05,20:17:00
104	127.71				23/05,20:17:10
105	129.302				23/05,20:17:20
106	129.302				23/05,20:17:30
107	129.302				23/05,20:17:41
108	129.302				23/05,20:17:51
109	129.302				23/05,20:18:01
110	129.302				23/05,20:18:12
111	129.04				23/05,20:18:22
112	129.04				23/05,20:18:32
113	129.686				23/05,20:18:42
114	129.686				23/05,20:18:53
115	129.686				23/05,20:19:03
116	129.541				23/05,20:19:13
117	129.541				23/05,20:19:23
118	129.541				23/05,20:19:34
119	129.541				23/05,20:19:44
120	129.541				23/05,20:19:54
121	129.541				23/05,20:20:04
122	129.57				23/05,20:20:15
123	129.57				23/05,20:20:25
124	129.57				23/05,20:20:35
125	129.57				23/05,20:20:45
126	130.378				23/05,20:20:56
127	130.378				23/05,20:21:06
128	130.378				23/05,20:21:16
129	130.378				23/05,20:21:26
130	130.593				23/05,20:21:37
131	130.593				23/05,20:21:47
132	131.317				23/05,20:21:57
133	131.317				23/05,20:22:07
134	131.317				23/05,20:22:18
135	131.317				23/05,20:22:28
136	131.317				23/05,20:22:38
137	131.317				23/05,20:22:48
138	131.507				23/05,20:22:59
139	131.507				23/05,20:23:09
140	131.507				23/05,20:23:19
141	131.507				23/05,20:23:29
142	131.122				23/05,20:23:40
143	131.528				23/05,20:23:50
144	131.528				23/05,20:24:00
145	131.234				23/05,20:24:10
146	131.234				23/05,20:24:21
147	131.234				23/05,20:24:31
148	130.92				23/05,20:24:41
149	130.92				23/05,20:24:51
150	130.92				23/05,20:25:02
151	131.121				23/05,20:25:12
152	131.121				23/05,20:25:22
153	131.121				23/05,20:25:32
154	131.384				23/05,20:25:43
155	131.143				23/05,20:25:53
156	131.143				23/05,20:26:03
157	131.438				23/05,20:26:13
158	131.438				23/05,20:26:24
159	131.438				23/05,20:26:34
160	131.438				23/05,20:26:44
161	131.438				23/05,20:26:55
162	131.438				23/05,20:27:05
163	131.438				23/05,20:27:15
164	131.438				23/05,20:27:25
165	131.438				23/05,20:27:36
166	131.438				23/05,20:27:46
167	131.438				23/05,20:27:56
168	131.764				23/05,20:28:06
169	132.049				23/05,20:28:17
170	132.049				23/05,20:28:27
171	132.049				23/05,20:28:37
172	132.049				23/05,20:28:47
173	132.049				23/05,20:28:57
174	132.049				23/05,20:29:08
175	132.049				23/05,20:29:18
176	132.049				23/05,20:29:28
177	132.049				23/05,20:29:38
178	132.049				23/05,20:29:49
179	132.049				23/05,20:29:59
180	132.049				23/05,20:30:09
181	132.049				23/05,20:30:19
182	131.632				23/05,20:30:30
183	131.632				23/05,20:30:40
184	131.632				23/05,20:30:50
185	132.776				23/05,20:31:00
186	132.776				23/05,20:31:11
187	133.793				23/05,20:31:21
188	133.843				23/05,20:31:31
189	133.843				23/05,20:31:41
190	133.46				23/05,20:31:52
191	132.699				23/05,20:32:02
192	132.699				23/05,20:32:12
193	132.626				23/05,20:32:22
194	132.626				23/05,20:32:33
195	132.626				23/05,20:32:43
196	132.626				23/05,20:32:53
197	132.441				23/05,20:33:03
198	132.4				23/05,20:33:14
199	132.4				23/05,20:33:24
200	132.4				23/05,20:33:34
201	132.4				23/05,20:33:44
202	132.4				23/05,20:33:55
203	132.4				23/05,20:34:05
204	132.4				23/05,20:34:15
205	132.4				23/05,20:34:25
206	132.4				23/05,20:34:36
207	132.4				23/05,20:34:46
208	132.4				23/05,20:34:56
209	132.125				23/05,20:35:06
210	131.926				23/05,20:35:17
211	131.926				23/05,20:35:27
212	131.926				23/05,20:35:37
213	131.926				23/05,20:35:47
214	131.926				23/05,20:35:58
215	131.926				23/05,20:36:08
216	131.926				23/05,20:36:18
217	132.181				23/05,20:36:28
218	132.181				23/05,20:36:39
219	131.987				23/05,20:36:49
220	131.987				23/05,20:36:59
221	131.987				23/05,20:37:10
222	131.904				23/05,20:37:20
223	131.888				23/05,20:37:30
224	131.888				23/05,20:37:40
